LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/6/2021;"22";"13";"27";"7";"40";"19";"10";"18";"0";"1015";"0";"0";""
Povo;2/6/2021;"23";"17";"27";"8";"39";"19";"10";"17";"0";"1018";"0";"0";""
Povo;3/6/2021;"24";"15";"28";"10";"44";"20";"8";"15";"0";"1021";"0";"0";""
Povo;4/6/2021;"24";"16";"29";"12";"51";"21";"6";"17";"0";"1022";"0";"0";"pioggia temporale "
Povo;5/6/2021;"22";"16";"31";"14";"65";"19";"7";"28";"0";"1019";"0";"0";"pioggia temporale "
Povo;6/6/2021;"22";"15";"27";"12";"58";"19";"7";"22";"0";"1017";"0";"0";""
Povo;7/6/2021;"20";"17";"24";"15";"76";"21";"5";"11";"0";"1018";"0";"0";"pioggia "
Povo;8/6/2021;"21";"17";"28";"14";"67";"20";"5";"31";"0";"1019";"0";"0";"pioggia temporale "
Povo;9/6/2021;"22";"15";"29";"13";"62";"18";"5";"11";"0";"1019";"0";"0";"pioggia temporale "
Povo;10/6/2021;"25";"17";"30";"11";"45";"19";"8";"15";"0";"1017";"0";"0";""
Povo;11/6/2021;"24";"17";"29";"11";"47";"21";"7";"17";"0";"1017";"0";"0";""
Povo;12/6/2021;"26";"14";"32";"11";"43";"21";"6";"11";"0";"1017";"0";"0";""
Povo;13/6/2021;"29";"20";"34";"8";"28";"23";"8";"17";"0";"1017";"0";"0";""
Povo;14/6/2021;"26";"15";"33";"9";"37";"19";"10";"21";"0";"1017";"0";"0";""
Povo;15/6/2021;"27";"21";"31";"13";"45";"18";"12";"21";"0";"1016";"0";"0";""
Povo;16/6/2021;"27";"18";"31";"15";"49";"21";"11";"21";"0";"1015";"0";"0";""
Povo;17/6/2021;"28";"19";"33";"16";"49";"20";"8";"18";"0";"1015";"0";"0";""
Povo;18/6/2021;"28";"21";"33";"16";"51";"18";"9";"18";"0";"1016";"0";"0";"pioggia temporale "
Povo;19/6/2021;"29";"22";"34";"16";"49";"20";"8";"18";"0";"1014";"0";"0";""
Povo;20/6/2021;"28";"20";"33";"15";"48";"20";"6";"15";"0";"1011";"0";"0";""
Povo;21/6/2021;"29";"22";"34";"13";"39";"16";"12";"18";"0";"1008";"0";"0";""
Povo;22/6/2021;"28";"19";"33";"11";"37";"20";"10";"18";"0";"1010";"0";"0";""
Povo;23/6/2021;"25";"17";"34";"14";"56";"17";"10";"39";"0";"1015";"0";"0";"pioggia temporale "
Povo;24/6/2021;"26";"16";"32";"12";"49";"18";"9";"22";"0";"1015";"0";"0";""
Povo;25/6/2021;"25";"16";"31";"10";"43";"21";"11";"31";"0";"1014";"0";"0";"pioggia temporale "
Povo;26/6/2021;"25";"13";"31";"10";"43";"20";"9";"28";"0";"1016";"0";"0";"pioggia temporale "
Povo;27/6/2021;"25";"15";"32";"13";"49";"19";"6";"15";"0";"1015";"0";"0";""
Povo;28/6/2021;"29";"19";"35";"14";"44";"19";"8";"17";"0";"1014";"0";"0";""
Povo;29/6/2021;"27";"18";"33";"13";"48";"18";"11";"24";"0";"1010";"0";"0";"pioggia temporale "
Povo;30/6/2021;"22";"15";"29";"12";"56";"18";"11";"52";"0";"1010";"0";"0";"pioggia temporale "
