LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/7/2003;"24,4";"14";"31";"16,8";"63";"11";"16";"57";"92";"0";"0";"0,5";"pioggia temporale "
Telve;2/7/2003;"21,1";"11,4";"29";"10,6";"51";"11";"8";"17";"0";"0";"0";"9,9";"temporale "
Telve;3/7/2003;"19,3";"15,5";"27,3";"13,7";"70";"11";"8";"50";"55";"0";"0";"1";"pioggia temporale "
Telve;4/7/2003;"18,9";"15";"24,4";"13,9";"73";"10";"5";"13";"0";"0";"0";"19,1";"pioggia temporale "
Telve;5/7/2003;"21";"10,7";"28,5";"9,8";"49";"11";"4";"9";"0";"0";"0";"0";""
Telve;6/7/2003;"22,9";"13,8";"29,1";"11,6";"49";"11";"8";"21";"0";"0";"0";"0";""
Telve;7/7/2003;"24,3";"14,8";"30,6";"13,9";"52";"11";"9";"21";"0";"0";"0";"0";""
Telve;8/7/2003;"24,6";"15,6";"32,1";"13";"48";"11";"6";"13";"0";"0";"0";"0";""
Telve;9/7/2003;"24,5";"17,5";"30,5";"13,7";"51";"12";"6";"21";"0";"0";"0";"0";""
Telve;10/7/2003;"25,1";"15,7";"32,3";"13,9";"50";"11";"9";"18";"0";"0";"0";"0";""
Telve;11/7/2003;"26,4";"16,3";"34,7";"12,6";"42";"11";"7";"18";"0";"0";"0";"0";""
Telve;12/7/2003;"26,5";"20";"31,4";"16,2";"53";"11";"8";"22";"0";"0";"0";"0";""
Telve;13/7/2003;"27,1";"18";"34";"16,8";"53";"11";"7";"17";"0";"0";"0";"0";""
Telve;14/7/2003;"25,4";"20,6";"29";"14,7";"52";"11";"16";"39";"50";"0";"0";"0";""
Telve;15/7/2003;"26,2";"21,6";"31,3";"15,5";"52";"11";"10";"21";"0";"0";"0";"0";"temporale "
Telve;16/7/2003;"27";"21,2";"33";"17,8";"57";"11";"10";"22";"39";"0";"0";"0";""
Telve;17/7/2003;"24";"18";"29,8";"17,6";"67";"11";"7";"39";"72";"0";"0";"10,9";"pioggia temporale "
Telve;18/7/2003;"25";"14,7";"33,1";"12,5";"46";"10";"6";"13";"0";"0";"0";"0";""
Telve;19/7/2003;"26,5";"17,7";"33,4";"14,8";"49";"11";"9";"21";"0";"0";"0";"0";""
Telve;20/7/2003;"27,8";"20,6";"35";"16,3";"50";"11";"9";"21";"0";"0";"0";"0";""
Telve;21/7/2003;"24,6";"19,1";"34,5";"16,3";"60";"11";"7";"21";"0";"0";"0";"4,1";"pioggia temporale "
Telve;22/7/2003;"25,3";"17,6";"33,3";"17,5";"62";"11";"6";"15";"0";"0";"0";"1";""
Telve;23/7/2003;"24,9";"19";"32";"16,7";"60";"12";"5";"11";"0";"0";"0";"5,1";""
Telve;24/7/2003;"21,3";"18,8";"23,4";"17,4";"78";"10";"5";"17";"0";"0";"0";"6,1";"pioggia temporale "
Telve;25/7/2003;"23,7";"14";"31";"12,3";"49";"11";"7";"17";"0";"0";"0";"2";""
Telve;26/7/2003;"26,6";"17,9";"33";"15,3";"50";"11";"10";"21";"0";"0";"0";"0";""
Telve;27/7/2003;"27,9";"18,4";"34";"17";"52";"11";"8";"18";"0";"0";"0";"0";""
Telve;28/7/2003;"23,5";"17,4";"31,7";"15,8";"62";"11";"8";"48";"57";"0";"0";"2";"pioggia temporale "
Telve;29/7/2003;"24,4";"15,9";"30,5";"10,7";"42";"11";"11";"24";"0";"0";"0";"8,9";""
Telve;30/7/2003;"24,2";"13,4";"32,3";"9,2";"39";"11";"5";"9";"0";"0";"0";"0";""
Telve;31/7/2003;"21,3";"18";"27";"15,3";"69";"11";"6";"17";"0";"0";"0";"1";"pioggia "
