LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Telve;1/9/2021;"22";"13";"29";"7";"42";"19";"5";"11";"0";"1021";"0";"0";""
Telve;2/9/2021;"23";"16";"28";"10";"47";"17";"7";"13";"0";"1022";"0";"0";""
Telve;3/9/2021;"22";"13";"28";"11";"54";"19";"7";"15";"0";"1018";"0";"0";""
Telve;4/9/2021;"23";"13";"28";"12";"54";"21";"5";"9";"0";"1015";"0";"0";""
Telve;5/9/2021;"22";"14";"29";"12";"57";"22";"7";"17";"0";"1019";"0";"0";""
Telve;6/9/2021;"23";"14";"29";"12";"52";"21";"7";"13";"0";"1022";"0";"0";""
Telve;7/9/2021;"23";"15";"28";"11";"49";"21";"8";"13";"0";"1021";"0";"0";""
Telve;8/9/2021;"23";"15";"29";"10";"48";"21";"6";"13";"0";"1019";"0";"0";""
Telve;9/9/2021;"22";"12";"29";"10";"50";"21";"6";"9";"0";"1017";"0";"0";""
Telve;10/9/2021;"22";"12";"29";"11";"52";"21";"6";"15";"0";"1017";"0";"0";""
Telve;11/9/2021;"23";"14";"29";"12";"52";"19";"5";"8";"0";"1017";"0";"0";""
Telve;12/9/2021;"22";"14";"29";"11";"54";"21";"4";"9";"0";"1017";"0";"0";""
Telve;13/9/2021;"22";"14";"29";"12";"56";"18";"4";"9";"0";"1017";"0";"0";""
Telve;14/9/2021;"24";"14";"30";"12";"50";"18";"4";"8";"0";"1017";"0";"0";""
Telve;15/9/2021;"22";"14";"25";"14";"62";"17";"4";"9";"0";"1017";"0";"0";""
Telve;16/9/2021;"20";"18";"22";"19";"97";"6";"4";"8";"0";"1015";"0";"0";"pioggia "
Telve;17/9/2021;"23";"18";"28";"16";"66";"21";"6";"11";"0";"1010";"0";"0";""
Telve;18/9/2021;"23";"18";"27";"13";"55";"20";"7";"17";"0";"1012";"0";"0";""
Telve;19/9/2021;"18";"15";"20";"15";"86";"14";"6";"13";"0";"1010";"0";"0";"pioggia temporale "
Telve;20/9/2021;"19";"11";"25";"11";"64";"17";"6";"11";"0";"1015";"0";"0";"pioggia "
Telve;21/9/2021;"19";"12";"25";"10";"60";"22";"6";"15";"0";"1023";"0";"0";""
Telve;22/9/2021;"17";"11";"22";"11";"68";"21";"3";"4";"0";"1023";"0";"0";""
Telve;23/9/2021;"18";"11";"23";"10";"62";"19";"7";"17";"0";"1022";"0";"0";""
Telve;24/9/2021;"19";"9";"25";"10";"62";"21";"4";"9";"0";"1018";"0";"0";""
Telve;25/9/2021;"20";"12";"25";"12";"61";"21";"5";"15";"0";"1021";"0";"0";""
Telve;26/9/2021;"20";"15";"22";"16";"77";"22";"4";"11";"0";"1020";"0";"0";""
Telve;27/9/2021;"21";"17";"26";"14";"68";"16";"5";"9";"0";"1017";"0";"0";""
Telve;28/9/2021;"20";"12";"26";"12";"65";"21";"4";"8";"0";"1020";"0";"0";""
Telve;29/9/2021;"19";"15";"24";"14";"73";"21";"4";"9";"0";"1019";"0";"0";"pioggia "
Telve;30/9/2021;"18";"12";"24";"10";"60";"20";"5";"11";"0";"1023";"0";"0";""
