LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/8/2018;"30";"20";"37";"16";"46";"21";"8";"21";"0";"1015";"0";"0";"pioggia "
Povo;2/8/2018;"26";"20";"34";"17";"59";"20";"4";"22";"0";"1018";"0";"0";"pioggia temporale "
Povo;3/8/2018;"29";"18";"36";"17";"49";"19";"8";"13";"0";"1017";"0";"0";""
Povo;4/8/2018;"30";"19";"36";"18";"51";"19";"9";"18";"0";"1015";"0";"0";""
Povo;5/8/2018;"29";"20";"37";"17";"52";"19";"9";"33";"0";"1015";"0";"0";"pioggia temporale "
Povo;6/8/2018;"27";"20";"34";"19";"64";"20";"9";"26";"0";"1016";"0";"0";"pioggia temporale "
Povo;7/8/2018;"26";"19";"31";"16";"55";"19";"6";"9";"0";"1015";"0";"0";""
Povo;8/8/2018;"28";"20";"34";"17";"52";"19";"7";"15";"0";"1014";"0";"0";""
Povo;9/8/2018;"27";"19";"33";"16";"51";"20";"9";"26";"0";"1016";"0";"0";""
Povo;10/8/2018;"27";"20";"33";"15";"50";"19";"8";"21";"0";"1018";"0";"0";""
Povo;11/8/2018;"27";"20";"33";"15";"49";"20";"7";"15";"0";"1018";"0";"0";""
Povo;12/8/2018;"27";"20";"32";"16";"51";"22";"8";"15";"0";"1016";"0";"0";""
Povo;13/8/2018;"27";"19";"32";"16";"53";"21";"9";"21";"0";"1011";"0";"0";"pioggia "
Povo;14/8/2018;"24";"18";"30";"15";"61";"22";"6";"18";"0";"1012";"0";"0";""
Povo;15/8/2018;"26";"15";"33";"12";"46";"20";"4";"9";"0";"1016";"0";"0";""
Povo;16/8/2018;"26";"17";"32";"13";"45";"19";"9";"17";"0";"1015";"0";"0";""
Povo;17/8/2018;"28";"18";"33";"14";"46";"19";"8";"17";"0";"1013";"0";"0";""
Povo;18/8/2018;"26";"18";"33";"16";"56";"20";"7";"22";"0";"1018";"0";"0";"pioggia temporale "
Povo;19/8/2018;"26";"17";"32";"16";"57";"18";"8";"17";"0";"1019";"0";"0";""
Povo;20/8/2018;"26";"18";"33";"16";"55";"19";"5";"9";"0";"1016";"0";"0";""
Povo;21/8/2018;"26";"19";"33";"17";"59";"18";"6";"18";"0";"1017";"0";"0";""
Povo;22/8/2018;"26";"18";"32";"18";"64";"19";"4";"13";"0";"1018";"0";"0";""
Povo;23/8/2018;"25";"19";"30";"17";"63";"18";"4";"8";"0";"1015";"0";"0";"pioggia temporale "
Povo;24/8/2018;"23";"18";"27";"18";"74";"18";"4";"8";"0";"1011";"0";"0";"pioggia temporale "
Povo;25/8/2018;"20";"15";"25";"17";"84";"14";"7";"17";"0";"1009";"0";"0";"pioggia "
Povo;26/8/2018;"19";"13";"24";"5";"40";"22";"12";"22";"0";"1013";"0";"0";""
Povo;27/8/2018;"20";"9";"27";"7";"48";"20";"4";"9";"0";"1016";"0";"0";""
Povo;28/8/2018;"23";"12";"30";"10";"49";"19";"6";"17";"0";"1018";"0";"0";""
Povo;29/8/2018;"23";"13";"30";"13";"54";"23";"6";"15";"0";"1016";"0";"0";""
Povo;30/8/2018;"21";"17";"26";"16";"74";"16";"3";"8";"0";"1017";"0";"0";"pioggia temporale "
Povo;31/8/2018;"18";"17";"20";"17";"95";"12";"4";"8";"0";"1017";"0";"0";"pioggia "
