LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/9/2021;"22";"14";"28";"13";"62";"20";"6";"9";"0";"1020";"0";"0";""
Tenno;2/9/2021;"22";"14";"27";"13";"59";"21";"8";"15";"0";"1023";"0";"0";""
Tenno;3/9/2021;"20";"14";"27";"12";"61";"19";"6";"11";"0";"1020";"0";"0";""
Tenno;4/9/2021;"21";"14";"27";"12";"59";"20";"6";"11";"0";"1016";"0";"0";""
Tenno;5/9/2021;"21";"14";"28";"12";"59";"20";"6";"13";"0";"1018";"0";"0";""
Tenno;6/9/2021;"23";"15";"29";"10";"48";"22";"9";"15";"0";"1022";"0";"0";""
Tenno;7/9/2021;"22";"14";"28";"10";"49";"21";"6";"9";"0";"1022";"0";"0";""
Tenno;8/9/2021;"23";"17";"28";"9";"42";"20";"10";"17";"0";"1019";"0";"0";""
Tenno;9/9/2021;"21";"14";"28";"9";"49";"19";"5";"9";"0";"1017";"0";"0";""
Tenno;10/9/2021;"22";"14";"28";"11";"51";"19";"7";"11";"0";"1017";"0";"0";""
Tenno;11/9/2021;"22";"16";"28";"13";"61";"19";"5";"8";"0";"1016";"0";"0";""
Tenno;12/9/2021;"21";"15";"29";"13";"62";"21";"5";"9";"0";"1016";"0";"0";""
Tenno;13/9/2021;"22";"15";"30";"12";"57";"20";"7";"13";"0";"1016";"0";"0";""
Tenno;14/9/2021;"23";"16";"30";"13";"55";"19";"7";"13";"0";"1016";"0";"0";""
Tenno;15/9/2021;"22";"17";"28";"16";"68";"18";"4";"11";"0";"1016";"0";"0";""
Tenno;16/9/2021;"22";"20";"24";"17";"77";"15";"7";"11";"0";"1015";"0";"0";"pioggia "
Tenno;17/9/2021;"21";"17";"26";"17";"83";"16";"7";"15";"0";"1011";"0";"0";"pioggia temporale "
Tenno;18/9/2021;"21";"18";"26";"16";"76";"21";"7";"11";"0";"1012";"0";"0";"pioggia temporale "
Tenno;19/9/2021;"19";"13";"22";"16";"87";"19";"11";"22";"0";"1010";"0";"0";"pioggia temporale nebbia "
Tenno;20/9/2021;"18";"11";"24";"13";"75";"21";"9";"18";"0";"1013";"0";"0";"pioggia temporale "
Tenno;21/9/2021;"19";"15";"23";"11";"60";"21";"8";"13";"0";"1023";"0";"0";""
Tenno;22/9/2021;"18";"14";"22";"12";"67";"21";"6";"11";"0";"1023";"0";"0";""
Tenno;23/9/2021;"17";"12";"23";"12";"72";"21";"6";"9";"0";"1022";"0";"0";""
Tenno;24/9/2021;"18";"10";"25";"12";"71";"15";"7";"15";"0";"1018";"0";"0";""
Tenno;25/9/2021;"20";"14";"26";"14";"70";"18";"6";"11";"0";"1021";"0";"0";""
Tenno;26/9/2021;"18";"16";"21";"17";"91";"10";"8";"21";"0";"1020";"0";"0";"pioggia temporale "
Tenno;27/9/2021;"17";"13";"22";"16";"91";"4";"6";"11";"0";"1018";"0";"0";"nebbia "
Tenno;28/9/2021;"19";"13";"26";"15";"82";"11";"5";"11";"0";"1019";"0";"0";"nebbia "
Tenno;29/9/2021;"20";"15";"26";"13";"67";"21";"7";"11";"0";"1017";"0";"0";""
Tenno;30/9/2021;"18";"15";"24";"12";"70";"20";"9";"13";"0";"1022";"0";"0";""
