LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/12/2017;"3";"-2";"8";"0";"70";"20";"7";"13";"0";"1011";"0";"0";"nebbia "
Tenno;2/12/2017;"5";"0";"8";"0";"51";"20";"12";"22";"0";"1016";"0";"0";""
Tenno;3/12/2017;"2";"-4";"8";"0";"65";"20";"6";"13";"0";"1020";"0";"0";""
Tenno;4/12/2017;"2";"-5";"8";"1";"74";"22";"6";"17";"0";"1027";"0";"0";""
Tenno;5/12/2017;"1";"-4";"7";"0";"78";"21";"6";"9";"0";"1032";"0";"0";""
Tenno;6/12/2017;"1";"-4";"8";"1";"83";"13";"4";"8";"0";"1032";"0";"0";""
Tenno;7/12/2017;"2";"-3";"8";"1";"81";"7";"4";"8";"0";"1029";"0";"0";""
Tenno;8/12/2017;"4";"3";"6";"3";"91";"4";"5";"15";"0";"1015";"0";"0";""
Tenno;9/12/2017;"3";"-3";"7";"1";"80";"12";"10";"18";"0";"1011";"0";"0";""
Tenno;10/12/2017;"-1";"-6";"2";"0";"75";"15";"6";"13";"0";"1011";"0";"0";"neve "
Tenno;11/12/2017;"3";"0";"11";"5";"96";"6";"7";"17";"0";"999";"0";"0";"pioggia neve "
Tenno;12/12/2017;"5";"1";"11";"4";"94";"9";"6";"17";"0";"1007";"0";"0";"pioggia nebbia "
Tenno;13/12/2017;"3";"-1";"9";"3";"93";"9";"5";"11";"0";"1016";"0";"0";"nebbia "
Tenno;14/12/2017;"4";"2";"6";"3";"94";"6";"5";"11";"0";"1008";"0";"0";"nebbia "
Tenno;15/12/2017;"4";"2";"8";"3";"90";"4";"8";"15";"0";"998";"0";"0";"nebbia "
Tenno;16/12/2017;"4";"1";"8";"1";"84";"17";"8";"26";"0";"1007";"0";"0";"nebbia "
Tenno;17/12/2017;"1";"-4";"8";"1";"88";"16";"9";"100";"0";"1018";"0";"0";"nebbia "
Tenno;18/12/2017;"-1";"-6";"5";"0";"77";"21";"5";"11";"0";"1024";"0";"0";""
Tenno;19/12/2017;"0";"-4";"6";"0";"70";"20";"7";"13";"0";"1031";"0";"0";""
Tenno;20/12/2017;"0";"-3";"6";"0";"80";"19";"6";"15";"0";"1032";"0";"0";""
Tenno;21/12/2017;"-1";"-6";"4";"1";"85";"11";"8";"100";"0";"1033";"0";"0";""
Tenno;22/12/2017;"0";"-4";"5";"2";"89";"8";"6";"13";"0";"1031";"0";"0";"nebbia "
Tenno;23/12/2017;"1";"-4";"9";"2";"87";"4";"5";"11";"0";"1030";"0";"0";"nebbia "
Tenno;24/12/2017;"2";"-3";"9";"2";"86";"7";"5";"9";"0";"1028";"0";"0";""
Tenno;25/12/2017;"2";"-3";"7";"2";"84";"12";"5";"11";"0";"1026";"0";"0";""
Tenno;26/12/2017;"5";"3";"7";"4";"93";"3";"4";"8";"0";"1016";"0";"0";"pioggia "
Tenno;27/12/2017;"7";"4";"9";"6";"93";"9";"12";"22";"0";"995";"0";"0";"pioggia nebbia "
Tenno;28/12/2017;"5";"2";"7";"3";"92";"12";"7";"21";"0";"992";"0";"0";"pioggia "
Tenno;29/12/2017;"3";"-2";"9";"1";"74";"19";"7";"17";"0";"1009";"0";"0";""
Tenno;30/12/2017;"2";"-1";"7";"0";"76";"21";"5";"11";"0";"1016";"0";"0";""
Tenno;31/12/2017;"2";"-3";"4";"1";"82";"14";"4";"9";"0";"1020";"0";"0";""
