LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/7/2019;"26";"21";"34";"19";"68";"18";"10";"33";"0";"1018";"0";"0";"pioggia temporale "
Povo;2/7/2019;"24";"13";"30";"19";"67";"19";"6";"22";"0";"1016";"0";"0";"pioggia temporale "
Povo;3/7/2019;"23";"19";"28";"18";"72";"21";"6";"18";"0";"1017";"0";"0";"pioggia temporale "
Povo;4/7/2019;"26";"16";"33";"15";"54";"19";"8";"15";"0";"1017";"0";"0";""
Povo;5/7/2019;"28";"17";"35";"15";"50";"23";"7";"11";"0";"1014";"0";"0";""
Povo;6/7/2019;"26";"18";"33";"17";"61";"18";"9";"26";"0";"1011";"0";"0";"pioggia temporale "
Povo;7/7/2019;"24";"18";"29";"16";"63";"20";"9";"22";"0";"1009";"0";"0";"pioggia temporale "
Povo;8/7/2019;"25";"17";"29";"12";"47";"20";"5";"11";"0";"1012";"0";"0";""
Povo;9/7/2019;"25";"18";"30";"16";"60";"17";"8";"21";"0";"1011";"0";"0";""
Povo;10/7/2019;"26";"16";"32";"10";"38";"20";"9";"18";"0";"1011";"0";"0";""
Povo;11/7/2019;"23";"18";"26";"14";"58";"20";"9";"17";"0";"1013";"0";"0";""
Povo;12/7/2019;"22";"16";"25";"15";"64";"20";"7";"18";"0";"1013";"0";"0";"pioggia temporale "
Povo;13/7/2019;"25";"17";"29";"7";"35";"20";"10";"26";"0";"1011";"0";"0";""
Povo;14/7/2019;"24";"14";"30";"9";"40";"21";"5";"15";"0";"1011";"0";"0";""
Povo;15/7/2019;"21";"16";"26";"14";"64";"21";"5";"11";"0";"1012";"0";"0";"pioggia temporale "
Povo;16/7/2019;"25";"15";"31";"11";"47";"19";"8";"15";"0";"1013";"0";"0";""
Povo;17/7/2019;"25";"16";"31";"14";"53";"18";"7";"13";"0";"1011";"0";"0";""
Povo;18/7/2019;"23";"17";"29";"15";"61";"20";"6";"13";"0";"1012";"0";"0";""
Povo;19/7/2019;"26";"18";"30";"15";"51";"19";"7";"13";"0";"1015";"0";"0";""
Povo;20/7/2019;"28";"20";"33";"16";"50";"19";"10";"17";"0";"1017";"0";"0";""
Povo;21/7/2019;"26";"20";"31";"18";"60";"19";"6";"17";"0";"1019";"0";"0";"pioggia "
Povo;22/7/2019;"29";"19";"35";"16";"48";"20";"6";"15";"0";"1020";"0";"0";""
Povo;23/7/2019;"31";"20";"36";"17";"46";"20";"8";"17";"0";"1017";"0";"0";""
Povo;24/7/2019;"31";"22";"37";"19";"51";"18";"8";"15";"0";"1016";"0";"0";""
Povo;25/7/2019;"29";"20";"36";"19";"56";"16";"11";"50";"0";"1016";"0";"0";"pioggia temporale "
Povo;26/7/2019;"26";"18";"34";"18";"64";"20";"8";"22";"0";"1011";"0";"0";"pioggia temporale "
Povo;27/7/2019;"25";"19";"33";"17";"63";"20";"9";"21";"0";"1003";"0";"0";"pioggia temporale "
Povo;28/7/2019;"20";"18";"22";"19";"90";"17";"3";"8";"0";"999";"0";"0";"pioggia "
Povo;29/7/2019;"25";"18";"31";"17";"64";"21";"3";"13";"0";"1006";"0";"0";""
Povo;30/7/2019;"27";"18";"33";"18";"63";"17";"10";"24";"0";"1010";"0";"0";"pioggia temporale "
Povo;31/7/2019;"23";"18";"27";"19";"76";"20";"5";"15";"0";"1014";"0";"0";"pioggia "
