LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Tenno;1/11/2023;"11";"5";"16";"8";"84";"21";"6";"11";"0";"1013";"0";"0";"pioggia "
Tenno;2/11/2023;"13";"11";"16";"12";"92";"15";"12";"26";"0";"998";"0";"0";"pioggia "
Tenno;3/11/2023;"11";"5";"14";"8";"87";"18";"12";"30";"0";"987";"0";"0";"pioggia "
Tenno;4/11/2023;"9";"3";"14";"6";"81";"16";"7";"18";"0";"996";"0";"0";"pioggia "
Tenno;5/11/2023;"12";"9";"18";"8";"79";"17";"13";"22";"0";"993";"0";"0";"pioggia "
Tenno;6/11/2023;"11";"4";"18";"8";"80";"22";"6";"13";"0";"1010";"0";"0";"nebbia "
Tenno;7/11/2023;"12";"6";"18";"8";"82";"19";"6";"11";"0";"1015";"0";"0";"pioggia nebbia "
Tenno;8/11/2023;"8,9";"3,5";"14,8";"6,7";"87";"0";"4";"0";"21";"0";"1019";"0";""
Tenno;9/11/2023;"8";"2";"13";"5";"84";"17";"6";"11";"0";"1017";"0";"0";"pioggia "
Tenno;10/11/2023;"10";"8";"12";"8";"90";"14";"9";"22";"0";"1006";"0";"0";"pioggia "
Tenno;11/11/2023;"7";"2";"14";"5";"88";"14";"8";"21";"0";"1006";"0";"0";"nebbia "
Tenno;12/11/2023;"7";"2";"13";"4";"81";"20";"6";"13";"0";"1010";"0";"0";""
Tenno;13/11/2023;"6";"1";"12";"4";"83";"16";"5";"9";"0";"1016";"0";"0";"nebbia "
Tenno;14/11/2023;"9";"4";"11";"6";"85";"14";"5";"13";"0";"1014";"0";"0";""
Tenno;15/11/2023;"11";"5";"17";"8";"83";"11";"9";"18";"0";"1014";"0";"0";"nebbia "
Tenno;16/11/2023;"9";"4";"16";"5";"74";"18";"6";"13";"0";"1016";"0";"0";""
Tenno;17/11/2023;"10";"5";"17";"5";"67";"17";"10";"22";"0";"1012";"0";"0";""
Tenno;18/11/2023;"9";"3";"16";"2";"59";"20";"7";"18";"0";"1021";"0";"0";""
Tenno;19/11/2023;"7";"2";"13";"3";"75";"19";"5";"9";"0";"1019";"0";"0";""
Tenno;20/11/2023;"8";"3";"12";"4";"78";"13";"5";"9";"0";"1015";"0";"0";""
Tenno;21/11/2023;"10";"5";"13";"5";"73";"19";"8";"18";"0";"1009";"0";"0";""
Tenno;22/11/2023;"8";"3";"16";"3";"72";"19";"7";"13";"0";"1015";"0";"0";""
Tenno;23/11/2023;"7";"2";"13";"3";"74";"20";"9";"21";"0";"1020";"0";"0";""
Tenno;24/11/2023;"3";"-1";"10";"2";"85";"13";"5";"11";"0";"1004";"0";"0";"nebbia "
Tenno;25/11/2023;"6";"1";"12";"2";"48";"16";"12";"30";"0";"1004";"0";"0";""
Tenno;26/11/2023;"5";"-1";"12";"0";"53";"21";"7";"13";"0";"1011";"0";"0";"nebbia "
Tenno;27/11/2023;"3";"-2";"7";"2";"71";"16";"4";"9";"0";"1010";"0";"0";"pioggia "
Tenno;28/11/2023;"4";"1";"9";"2";"85";"13";"12";"26";"0";"996";"0";"0";"pioggia "
Tenno;29/11/2023;"4";"-2";"11";"1";"74";"17";"7";"13";"0";"1006";"0";"0";""
Tenno;30/11/2023;"4";"4";"6";"3";"93";"8";"6";"11";"0";"1005";"0";"0";"pioggia "
